user_id,signup_date,country,city,platform,acquisition_channel,age_group,experiment_group,first_device_type
U00041,2024-09-14,Netherlands,Amsterdam,Web,Direct,25-34,treatment,Web
U00042,2024-08-07,Germany,Berlin,iOS,Organic,25-34,control,iOS
U00043,2024-03-13,Austria,Vienna,Web,Direct,35-44,treatment,Web
U00044,2025-02-23,Germany,Hamburg,Web,Paid Social,45-54,control,Web
U00045,2025-05-14,Germany,Berlin,Web,Organic,25-34,control,Web
U00046,2025-04-12,Netherlands,Amsterdam,Android,Organic,25-34,control,Android
U00047,2025-03-02,Spain,Barcelona,iOS,Paid Search,25-34,control,iOS
U00048,2024-01-13,France,Paris,iOS,Paid Search,,control,iOS
U00049,2025-01-17,France,Paris,Android,Direct,35-44,control,Android
U00050,2024-09-12,Germany,Munich,Android,Referral,25-34,control,Android
U00051,2024-04-29,Netherlands,Amsterdam,iOS,Paid Social,45-54,treatment,iOS
U00052,2024-02-21,Netherlands,Amsterdam,Android,Referral,45-54,control,Android
U00053,2025-01-26,Austria,Vienna,Web,Paid Social,25-34,control,Web
U00054,2024-06-20,Germany,Munich,Android,Referral,55+,control,Android
U00055,2025-04-28,Germany,Hamburg,iOS,Organic,,control,iOS
U00056,2025-03-26,Germany,Hamburg,iOS,Paid Search,45-54,treatment,iOS
U00057,2024-03-19,France,Paris,iOS,Paid Social,35-44,control,iOS
U00058,2025-04-14,Germany,Munich,Android,Organic,35-44,treatment,Android
U00059,2024-08-16,Germany,Munich,Android,Paid Search,18-24,control,Android
U00060,2024-01-15,Germany,Hamburg,iOS,Partnership,18-24,control,iOS
U00061,2024-08-28,Germany,Munich,Android,Organic,25-34,control,Android
U00062,2024-02-14,Germany,Munich,iOS,Organic,18-24,control,iOS
U00063,2025-01-23,Germany,Munich,Android,Organic,45-54,treatment,Android
U00064,2024-07-11,Germany,Hamburg,iOS,Paid Search,,control,iOS
U00065,2025-02-02,France,Paris,Android,Organic,18-24,control,Android
U00066,2025-03-26,Germany,Hamburg,Web,Paid Social,35-44,control,Web
U00067,2024-04-26,France,Paris,iOS,Paid Social,25-34,treatment,iOS
U00068,2024-11-26,Germany,Hamburg,Android,Paid Social,25-34,treatment,Android
U00069,2024-11-20,France,Paris,Web,Organic,25-34,treatment,Web
U00070,2024-08-16,France,Paris,Android,Referral,18-24,treatment,Android
U00071,2024-09-10,Austria,Vienna,Android,Paid Social,25-34,treatment,Android
U00072,2024-10-20,Netherlands,Amsterdam,iOS,Direct,25-34,treatment,iOS
U00073,2024-01-23,Germany,Berlin,Android,Direct,35-44,control,Android
U00074,2025-05-09,France,Paris,Web,Organic,18-24,treatment,Android
U00075,2024-01-16,Spain,Madrid,Android,Paid Search,25-34,treatment,Android
U00076,2025-02-28,Germany,Berlin,iOS,Paid Search,25-34,treatment,iOS
U00077,2024-08-14,Germany,Berlin,Web,Partnership,35-44,control,Web
U00078,2024-07-09,France,Paris,iOS,Paid Social,18-24,control,iOS
U00079,2024-04-03,Spain,Madrid,Web,Referral,35-44,control,Web
U00080,2025-01-11,Netherlands,Amsterdam,iOS,Direct,25-34,control,iOS
U00081,2024-06-01,Spain,Barcelona,iOS,Direct,25-34,control,iOS
U00082,2024-05-19,Netherlands,Amsterdam,Android,Organic,25-34,treatment,Android
U00083,2024-06-14,Netherlands,Amsterdam,iOS,Paid Social,35-44,treatment,iOS
U00084,2024-12-01,Germany,Berlin,Android,Paid Social,18-24,control,Android
U00085,2024-10-01,Germany,Berlin,iOS,Paid Social,45-54,treatment,iOS
U00086,2025-04-28,France,Paris,iOS,Referral,18-24,treatment,iOS
U00087,2024-11-13,Spain,Barcelona,iOS,Organic,45-54,treatment,iOS
U00088,2024-05-23,Germany,Hamburg,Android,Paid Search,25-34,control,Android
U00089,2024-08-14,Netherlands,Amsterdam,Android,Organic,35-44,control,Android
U00090,2024-04-22,France,Paris,iOS,Organic,35-44,treatment,iOS
U00091,2024-12-10,Spain,Barcelona,Android,Direct,55+,control,Android
U00092,2024-01-26,Netherlands,Amsterdam,iOS,Referral,45-54,control,iOS
U00093,2024-03-13,France,Paris,iOS,Organic,25-34,control,iOS
U00094,2024-01-22,Germany,Munich,iOS,Partnership,45-54,treatment,iOS
U00095,2025-04-27,Netherlands,Amsterdam,Android,Paid Search,18-24,treatment,Android
U00096,2025-04-23,France,Paris,iOS,Paid Social,25-34,treatment,iOS
U00097,2024-09-23,Netherlands,Amsterdam,Android,Paid Social,45-54,control,Android
U00098,2024-08-14,France,Paris,Android,Paid Search,25-34,control,Android
U00099,2024-08-26,Netherlands,Amsterdam,iOS,Partnership,25-34,treatment,iOS
U00100,2024-04-13,Germany,Hamburg,iOS,Organic,18-24,control,iOS
U00101,2024-04-13,France,Paris,Web,Organic,18-24,treatment,Android
U00102,2024-07-20,Austria,Vienna,Web,Paid Social,45-54,treatment,Web
U00103,2025-02-05,Germany,Berlin,Android,Paid Social,25-34,control,Android
U00104,2024-08-19,Spain,Barcelona,Android,Paid Social,25-34,control,Android
U00105,2024-10-09,Netherlands,Amsterdam,iOS,Partnership,45-54,treatment,iOS
U00106,2024-04-30,Germany,Berlin,Android,Paid Social,18-24,treatment,Android
U00107,2024-04-17,Austria,Vienna,Android,Organic,18-24,control,Android
U00108,2024-11-16,France,Paris,iOS,Organic,45-54,treatment,iOS
U00109,2025-04-16,Netherlands,Amsterdam,Android,Paid Search,25-34,control,Android
U00110,2024-01-21,Spain,Barcelona,Android,Paid Social,18-24,control,Android
U00111,2024-07-01,Germany,Munich,Android,Partnership,35-44,control,Android
U00112,2024-05-21,Austria,Vienna,Web,Organic,55+,control,Web
U00113,2024-02-01,Spain,Madrid,Web,Paid Search,18-24,treatment,Android
U00114,2024-03-04,Netherlands,Amsterdam,Android,Paid Social,45-54,treatment,Android
U00115,2024-05-21,Spain,Madrid,Web,Paid Social,18-24,control,iOS
U00116,2024-04-07,Germany,Berlin,Android,Partnership,25-34,control,Android
U00117,2024-07-31,Germany,Berlin,iOS,Direct,25-34,treatment,iOS
U00118,2024-09-23,Netherlands,Amsterdam,iOS,Direct,18-24,control,iOS
U00119,2024-02-03,Spain,Madrid,Android,Organic,35-44,treatment,Android
U00120,2024-11-21,Netherlands,Amsterdam,iOS,Paid Social,45-54,control,iOS
U00121,2024-07-13,Spain,Madrid,Android,Paid Search,18-24,control,Android
U00122,2024-12-31,France,Paris,iOS,Organic,25-34,treatment,iOS
U00123,2024-06-03,Germany,Berlin,iOS,Paid Social,35-44,control,iOS
U00124,2024-04-30,Austria,Vienna,iOS,Paid Search,25-34,treatment,iOS
U00125,2024-11-09,Germany,Hamburg,Android,Direct,25-34,treatment,Android
U00126,2024-09-05,Spain,Barcelona,iOS,Paid Social,25-34,control,iOS
U00127,2024-04-18,Germany,Hamburg,Android,Direct,25-34,control,Android
U00128,2025-01-21,Netherlands,Amsterdam,iOS,Organic,45-54,treatment,iOS
U00129,2024-08-03,Germany,Berlin,iOS,Organic,35-44,control,iOS
U00130,2024-03-19,Germany,Berlin,Android,Referral,18-24,treatment,Android
U00131,2024-02-05,Netherlands,Amsterdam,Android,Direct,25-34,treatment,Android
U00132,2024-08-20,Germany,Hamburg,iOS,Referral,45-54,control,iOS
U00133,2024-04-22,France,Paris,iOS,Organic,18-24,treatment,iOS
U00134,2024-01-26,France,Paris,iOS,Paid Social,35-44,treatment,iOS
U00135,2025-01-08,France,Paris,Android,Paid Search,18-24,treatment,Android
U00136,2024-05-03,Netherlands,Amsterdam,Android,Paid Social,18-24,treatment,Android
U00137,2024-08-25,France,Paris,iOS,Paid Search,45-54,treatment,iOS
U00138,2024-06-09,Spain,Barcelona,Android,Partnership,18-24,treatment,Android
U00139,2024-04-22,Austria,Vienna,Web,Organic,35-44,treatment,Web
U00140,2025-04-26,Germany,Hamburg,Android,Paid Social,35-44,control,Android
U00141,2025-02-19,Spain,Barcelona,iOS,Direct,45-54,control,iOS
U00142,2024-03-07,Germany,Berlin,Android,Paid Social,35-44,treatment,Android
U00143,2024-12-11,Germany,Hamburg,Android,Organic,18-24,treatment,Android
U00144,2024-12-11,Germany,Hamburg,Web,Paid Search,35-44,treatment,Web
U00145,2025-02-21,Germany,Munich,iOS,Paid Search,18-24,control,iOS
U00146,2024-07-24,France,Paris,Android,Paid Social,35-44,control,Android
U00147,2024-02-17,Germany,Berlin,iOS,Paid Search,35-44,control,iOS
U00148,2024-06-12,Netherlands,Amsterdam,iOS,Referral,25-34,treatment,iOS
U00149,2024-12-28,Germany,Berlin,Android,Direct,55+,treatment,Android
U00150,2025-05-09,Spain,Barcelona,Web,Partnership,35-44,control,Web
U00151,2024-06-16,Austria,Vienna,iOS,Organic,45-54,control,iOS
U00152,2024-02-21,Germany,Hamburg,iOS,Organic,,treatment,iOS
U00153,2025-03-26,France,Paris,iOS,Organic,45-54,control,iOS
U00154,2024-08-29,Austria,Vienna,Android,Paid Search,25-34,control,Android
U00155,2024-03-30,France,Paris,Android,Organic,25-34,control,Android
U00156,2024-09-12,France,Paris,iOS,Direct,18-24,treatment,iOS
U00157,2025-03-02,Germany,Berlin,Android,Paid Social,25-34,control,Android
U00158,2024-09-12,Austria,Vienna,Web,Referral,25-34,control,Web
U00159,2024-09-29,Germany,Munich,Android,Direct,25-34,treatment,Android
U00160,2024-01-18,Netherlands,Amsterdam,iOS,Paid Search,45-54,treatment,iOS
U00161,2024-03-17,Germany,Berlin,Android,Organic,25-34,control,Android
U00162,2024-07-06,Netherlands,Amsterdam,iOS,Organic,25-34,control,iOS
U00163,2024-09-15,Austria,Vienna,iOS,Organic,35-44,control,iOS
U00164,2025-04-11,France,Paris,iOS,Paid Search,25-34,control,iOS
U00165,2024-08-28,France,Paris,Android,Organic,18-24,control,Android
U00166,2025-03-09,Germany,Munich,Android,Partnership,25-34,treatment,Android
U00167,2024-09-11,Austria,Vienna,iOS,Referral,18-24,control,iOS
U00168,2024-04-17,Spain,Barcelona,Web,Paid Search,18-24,control,Android
U00169,2024-12-24,France,Paris,iOS,Organic,25-34,control,iOS
U00170,2024-07-28,Germany,Berlin,iOS,Organic,25-34,control,iOS
U00171,2024-01-17,Netherlands,Amsterdam,Web,Direct,25-34,control,Web
U00172,2024-05-18,Austria,Vienna,Web,Organic,55+,control,Android
U00173,2024-01-25,Austria,Vienna,iOS,Paid Search,25-34,control,iOS
U00174,2024-10-03,Austria,Vienna,iOS,Paid Social,18-24,treatment,iOS
U00175,2024-06-07,France,Paris,iOS,Paid Social,18-24,treatment,iOS
U00176,2025-02-13,Spain,Barcelona,iOS,Paid Social,25-34,control,iOS
U00177,2024-05-09,Spain,Madrid,iOS,Organic,55+,treatment,iOS
U00178,2024-07-27,Spain,Madrid,iOS,Partnership,25-34,control,iOS
U00179,2025-04-21,Netherlands,Amsterdam,Web,Organic,25-34,treatment,Web
U00180,2024-05-25,Spain,Barcelona,iOS,Paid Search,25-34,control,iOS
U00181,2024-12-16,Spain,Madrid,Web,Paid Search,18-24,control,Web
U00182,2025-01-13,France,Paris,Android,Organic,25-34,treatment,Android
U00183,2024-03-23,Germany,Berlin,Web,Referral,18-24,treatment,Web
U00184,2025-01-01,Germany,Munich,Web,Referral,25-34,control,Web
U00185,2024-02-09,Austria,Vienna,iOS,Paid Search,25-34,treatment,iOS
U00186,2024-06-05,Germany,Munich,iOS,Paid Social,25-34,control,iOS
U00187,2024-02-04,Spain,Madrid,iOS,Organic,35-44,treatment,iOS
U00188,2024-01-29,France,Paris,iOS,Paid Social,25-34,control,iOS
U00189,2024-08-27,France,Paris,Android,Referral,25-34,control,Android
U00190,2024-02-19,Germany,Hamburg,Web,Paid Social,18-24,treatment,iOS
U00191,2024-10-24,Germany,Munich,Android,Paid Search,18-24,treatment,Android
U00192,2025-02-01,Netherlands,Amsterdam,Web,Referral,25-34,control,Web
U00193,2024-02-19,Germany,Hamburg,iOS,Paid Social,18-24,control,iOS
U00194,2024-08-23,Netherlands,Amsterdam,Android,Referral,45-54,treatment,Android
U00195,2025-02-24,Netherlands,Amsterdam,Web,Organic,18-24,control,iOS
U00196,2025-02-27,Netherlands,Amsterdam,Android,Paid Social,35-44,control,Android
U00197,2025-02-24,Netherlands,Amsterdam,Android,Paid Social,35-44,control,Android
U00198,2024-07-06,Germany,Berlin,Web,Paid Social,25-34,control,Web
U00199,2025-04-26,Austria,Vienna,iOS,Direct,45-54,treatment,iOS
U00200,2025-04-22,France,Paris,iOS,Organic,55+,treatment,iOS
U00201,2024-04-26,France,Paris,iOS,Organic,25-34,control,iOS
U00202,2025-04-03,France,Paris,Android,Paid Social,35-44,treatment,Android
U00203,2025-03-21,Spain,Barcelona,Android,Paid Search,25-34,treatment,Android
U00204,2024-11-19,Spain,Barcelona,Web,Paid Search,,control,Web
U00205,2024-10-30,Austria,Vienna,iOS,Organic,35-44,control,iOS
U00206,2024-12-15,France,Paris,iOS,Direct,18-24,control,iOS
U00207,2024-08-14,Austria,Vienna,Android,Partnership,35-44,control,Android
U00208,2024-07-25,Netherlands,Amsterdam,Android,Referral,18-24,treatment,Android
U00209,2024-09-04,Netherlands,Amsterdam,iOS,Paid Search,18-24,treatment,iOS
U00210,2024-10-22,Spain,Madrid,Android,Paid Search,25-34,control,Android
U00211,2025-02-17,Germany,Berlin,iOS,Referral,35-44,treatment,iOS
U00212,2025-02-28,France,Paris,iOS,Referral,35-44,treatment,iOS
U00213,2024-07-18,Austria,Vienna,iOS,Paid Search,45-54,control,iOS
U00214,2024-11-24,Spain,Barcelona,Android,Paid Search,45-54,control,Android
U00215,2024-12-03,Germany,Munich,iOS,Paid Social,55+,treatment,iOS
U00216,2024-07-16,France,Paris,Android,Paid Social,25-34,treatment,Android
U00217,2024-09-21,Germany,Munich,iOS,Organic,45-54,treatment,iOS
U00218,2024-09-16,Austria,Vienna,iOS,Referral,35-44,control,iOS
U00219,2024-04-01,Spain,Madrid,Android,Referral,35-44,treatment,Android
U00220,2024-10-11,Spain,Barcelona,iOS,Organic,35-44,control,iOS
U00221,2024-09-10,Netherlands,Amsterdam,Web,Organic,25-34,treatment,Web
U00222,2025-01-13,Germany,Berlin,iOS,Paid Social,25-34,control,iOS
U00223,2024-12-13,Netherlands,Amsterdam,Android,Direct,25-34,control,Android
U00224,2025-01-21,France,Paris,Android,Organic,35-44,control,Android
U00225,2025-03-14,Netherlands,Amsterdam,iOS,Organic,25-34,treatment,iOS
U00226,2025-04-24,France,Paris,Android,Paid Search,18-24,treatment,Android
U00227,2024-11-18,Netherlands,Amsterdam,iOS,Paid Search,18-24,control,iOS
U00228,2024-02-02,Netherlands,Amsterdam,iOS,Paid Search,25-34,control,iOS
U00229,2024-08-17,Austria,Vienna,Android,Paid Search,18-24,control,Android
U00230,2024-06-14,Germany,Hamburg,iOS,Organic,18-24,control,iOS
U00231,2024-04-21,Spain,Barcelona,iOS,Direct,18-24,control,iOS
U00232,2024-11-30,Spain,Madrid,iOS,Direct,18-24,control,iOS
U00233,2024-09-24,Germany,Hamburg,Android,Paid Search,18-24,treatment,Android
U00234,2024-09-15,Germany,Munich,Android,Referral,35-44,treatment,Android
U00235,2024-03-06,Austria,Vienna,iOS,Organic,18-24,control,iOS
U00236,2025-02-03,France,Paris,Web,Organic,35-44,treatment,Web
U00237,2024-05-09,Spain,Barcelona,Android,Paid Search,25-34,control,Android
U00238,2025-02-15,Netherlands,Amsterdam,Android,Referral,45-54,control,Android
U00239,2025-03-11,Germany,Hamburg,Android,Referral,45-54,treatment,Android
U00240,2024-11-25,France,Paris,Android,Organic,35-44,treatment,Android
U00241,2024-10-19,Netherlands,Amsterdam,Android,Organic,35-44,control,Android
U00242,2024-05-14,Germany,Hamburg,Android,Paid Social,25-34,control,Android
U00243,2024-07-14,Germany,Berlin,Android,Paid Search,45-54,control,Android
U00244,2024-08-19,France,Paris,iOS,Paid Social,35-44,control,iOS
U00245,2025-03-19,Germany,Berlin,iOS,Paid Search,25-34,treatment,iOS
U00246,2025-03-12,France,Paris,iOS,Paid Social,35-44,control,iOS
U00247,2024-07-14,Spain,Barcelona,Android,Partnership,45-54,treatment,Android
U00248,2025-04-23,Germany,Munich,iOS,Direct,35-44,treatment,iOS
U00249,2024-05-08,Netherlands,Amsterdam,Android,Paid Search,35-44,treatment,Android
U00250,2024-03-03,Germany,Hamburg,iOS,Paid Social,18-24,treatment,iOS
U00251,2024-08-21,France,Paris,iOS,Referral,25-34,control,iOS
U00252,2024-07-17,France,Paris,iOS,Organic,35-44,control,iOS
U00253,2024-04-26,France,Paris,Web,Organic,35-44,treatment,iOS
U00254,2024-11-09,Netherlands,Amsterdam,iOS,Partnership,,treatment,iOS
U00255,2024-05-03,Netherlands,Amsterdam,Android,Organic,25-34,control,Android
U00256,2025-04-12,Germany,Hamburg,Android,Direct,45-54,treatment,Android
U00257,2024-06-25,Netherlands,Amsterdam,Android,Paid Social,18-24,control,Android
U00258,2025-01-16,Netherlands,Amsterdam,iOS,Referral,35-44,treatment,iOS
U00259,2025-04-19,Germany,Berlin,Web,Paid Search,25-34,treatment,Web
U00260,2024-12-04,France,Paris,Android,Direct,25-34,control,Android
U00261,2024-12-15,Germany,Berlin,iOS,Paid Search,25-34,control,iOS
U00262,2024-11-18,Netherlands,Amsterdam,Android,Referral,25-34,control,Android
U00263,2024-11-07,Spain,Barcelona,Android,Paid Search,18-24,control,Android
U00264,2024-08-28,Spain,Madrid,iOS,Direct,25-34,treatment,iOS
U00265,2024-02-05,France,Paris,Web,Paid Social,35-44,control,Web
U00266,2024-12-21,France,Paris,Android,Partnership,25-34,treatment,Android
U00267,2024-07-03,Austria,Vienna,Android,Partnership,25-34,control,Android
U00268,2024-01-12,Spain,Madrid,Android,Paid Search,18-24,control,Android
U00269,2024-12-12,Netherlands,Amsterdam,iOS,Paid Search,35-44,control,iOS
U00270,2025-03-05,Germany,Munich,iOS,Paid Social,,treatment,iOS
U00271,2024-04-30,Spain,Madrid,Web,Paid Search,25-34,treatment,Android
U00272,2025-02-22,Germany,Hamburg,Android,Partnership,45-54,treatment,Android
U00273,2024-02-02,Germany,Hamburg,iOS,Organic,35-44,control,iOS
U00274,2024-02-13,Spain,Madrid,Web,Direct,45-54,treatment,Web
U00275,2024-01-11,Germany,Hamburg,iOS,Organic,25-34,control,iOS
U00276,2024-01-18,Germany,Berlin,Web,Referral,55+,control,Web
U00277,2025-02-02,Spain,Madrid,iOS,Paid Search,55+,control,iOS
U00278,2024-10-01,France,Paris,Android,Paid Search,35-44,treatment,Android
U00279,2025-02-13,Germany,Hamburg,Android,Referral,25-34,control,Android
U00280,2024-09-06,France,Paris,Android,Organic,55+,treatment,Android
U00281,2024-09-29,Netherlands,Amsterdam,Android,Partnership,18-24,treatment,Android
U00282,2024-12-23,Germany,Berlin,Android,Organic,35-44,control,Android
U00283,2024-06-14,Germany,Berlin,Android,Paid Search,55+,treatment,Android
U00284,2024-02-08,Spain,Madrid,Web,Paid Social,25-34,treatment,Android
U00285,2024-03-11,Netherlands,Amsterdam,iOS,Paid Search,25-34,control,iOS
U00286,2025-01-09,Austria,Vienna,Android,Partnership,45-54,control,Android
U00287,2025-05-15,Germany,Hamburg,Android,Partnership,55+,control,Android
U00288,2024-01-08,Germany,Berlin,iOS,Organic,35-44,treatment,iOS
U00289,2024-06-20,France,Paris,Android,Organic,25-34,treatment,Android
U00290,2024-02-06,France,Paris,Android,Paid Search,35-44,treatment,Android
U00291,2024-01-27,Germany,Hamburg,Android,Paid Search,25-34,treatment,Android
U00292,2024-08-27,Germany,Berlin,iOS,Partnership,18-24,treatment,iOS
U00293,2025-04-09,Austria,Vienna,Android,Paid Search,35-44,control,Android
U00294,2024-10-25,Netherlands,Amsterdam,iOS,Paid Search,25-34,control,iOS
U00295,2024-09-29,Germany,Munich,Android,Paid Search,25-34,control,Android
U00296,2024-06-15,Netherlands,Amsterdam,iOS,Referral,45-54,treatment,iOS
U00297,2025-01-25,Spain,Madrid,Android,Paid Social,45-54,treatment,Android
U00298,2024-08-26,France,Paris,Android,Paid Social,18-24,control,Android
U00299,2024-02-15,Spain,Barcelona,Android,Organic,45-54,control,Android
U00300,2024-07-21,Germany,Hamburg,iOS,Direct,18-24,control,iOS
U00301,2024-08-23,Netherlands,Amsterdam,Android,Direct,55+,treatment,Android
U00302,2025-02-23,Germany,Hamburg,Web,Organic,25-34,treatment,iOS
U00303,2024-10-09,Netherlands,Amsterdam,Android,Referral,25-34,control,Android
U00304,2024-04-21,Spain,Madrid,Web,Referral,35-44,treatment,Web
U00305,2024-05-23,Netherlands,Amsterdam,Android,Paid Social,18-24,treatment,Android
U00306,2025-01-16,Austria,Vienna,Android,Paid Search,25-34,control,Android
U00307,2024-09-22,France,Paris,Android,Referral,35-44,control,Android
U00308,2025-03-21,France,Paris,iOS,Referral,18-24,control,iOS
U00309,2024-08-22,Spain,Madrid,iOS,Organic,18-24,treatment,iOS
U00310,2024-12-26,France,Paris,Android,Paid Search,55+,treatment,Android
U00311,2024-09-30,Spain,Madrid,Web,Paid Social,25-34,control,Android
U00312,2025-02-15,Spain,Madrid,Android,Paid Search,45-54,control,Android
U00313,2024-04-19,France,Paris,iOS,Direct,18-24,treatment,iOS
U00314,2025-02-04,Germany,Hamburg,Android,Organic,25-34,control,Android
U00315,2024-06-16,France,Paris,iOS,Organic,45-54,control,iOS
U00316,2025-05-12,France,Paris,iOS,Paid Search,25-34,treatment,iOS
U00317,2025-04-01,France,Paris,iOS,Paid Social,18-24,control,iOS
U00318,2024-04-27,Spain,Barcelona,iOS,Organic,25-34,treatment,iOS
U00319,2024-07-26,Spain,Barcelona,iOS,Organic,35-44,treatment,iOS
U00320,2024-05-12,Spain,Barcelona,iOS,Direct,18-24,treatment,iOS
U00321,2024-04-07,Austria,Vienna,Web,Referral,55+,treatment,Web
U00322,2024-03-03,Austria,Vienna,iOS,Partnership,25-34,control,iOS
U00323,2024-09-03,Germany,Berlin,iOS,Referral,55+,treatment,iOS
U00324,2024-03-09,France,Paris,Web,Referral,18-24,control,Web
U00325,2024-01-30,Austria,Vienna,iOS,Organic,25-34,treatment,iOS
U00326,2025-04-08,Spain,Madrid,Android,Paid Social,18-24,control,Android
U00327,2024-08-24,Spain,Madrid,Android,Partnership,25-34,treatment,Android
U00328,2024-06-10,Spain,Barcelona,Android,Referral,25-34,control,Android
U00329,2025-02-04,France,Paris,iOS,Direct,18-24,control,iOS
U00330,2024-11-14,Spain,Madrid,iOS,Paid Social,45-54,treatment,iOS
U00331,2024-12-12,Germany,Berlin,iOS,Paid Search,25-34,control,iOS
U00332,2024-01-17,Germany,Hamburg,Android,Paid Search,45-54,treatment,Android
U00333,2024-10-06,Netherlands,Amsterdam,Web,Paid Search,35-44,treatment,Web
U00334,2024-04-28,France,Paris,Android,Organic,18-24,control,Android
U00335,2025-03-20,Germany,Berlin,iOS,Organic,18-24,control,iOS
U00336,2024-02-13,Germany,Hamburg,Android,Paid Search,25-34,treatment,Android
U00337,2024-06-16,Germany,Munich,iOS,Organic,45-54,control,iOS
U00338,2024-11-14,Germany,Munich,iOS,Paid Search,45-54,treatment,iOS
U00339,2024-03-17,France,Paris,iOS,Organic,45-54,control,iOS
U00340,2025-04-11,France,Paris,iOS,Direct,45-54,treatment,iOS
U00341,2024-09-12,France,Paris,Android,Referral,45-54,control,Android
U00342,2024-03-06,Spain,Madrid,Web,Organic,45-54,treatment,Web
U00343,2024-04-04,Spain,Barcelona,Android,Paid Social,35-44,treatment,Android
U00344,2024-05-21,France,Paris,Android,Paid Social,35-44,treatment,Android
U00345,2024-06-10,France,Paris,Android,Paid Social,18-24,treatment,Android
U00346,2024-08-25,Germany,Munich,Android,Organic,,treatment,Android
U00347,2025-01-19,France,Paris,Android,Partnership,18-24,treatment,Android
U00348,2025-01-26,Spain,Barcelona,Android,Direct,35-44,control,Android
U00349,2024-10-23,Germany,Munich,iOS,Referral,18-24,control,iOS
U00350,2025-04-04,Austria,Vienna,iOS,Referral,35-44,treatment,iOS
U00351,2025-01-23,Germany,Munich,Android,Referral,,control,Android
U00352,2025-04-24,Austria,Vienna,iOS,Referral,18-24,treatment,iOS
U00353,2024-04-24,Spain,Barcelona,Android,Paid Search,18-24,control,Android
U00354,2024-05-18,Spain,Madrid,Android,Organic,25-34,control,Android
U00355,2024-10-05,Spain,Barcelona,iOS,Partnership,55+,treatment,iOS
U00356,2024-10-25,Spain,Madrid,iOS,Paid Search,55+,control,iOS
U00357,2024-11-20,Netherlands,Amsterdam,iOS,Paid Search,35-44,control,iOS
U00358,2025-05-15,France,Paris,iOS,Referral,18-24,treatment,iOS
